id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,hour,day_of_week,month,is_weekend
14053623,JJ519859,2025-12-11 01:15:00,065XX S PERRY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,722,7,6,69.0,7,1176529.0,1861346.0,2025,2025-12-19 15:43:07,41.774882692,-87.628419355,"(41.774882692, -87.628419355)",1,Thursday,12,0
14052597,JJ518554,2025-12-11 01:15:00,008XX W 70TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,False,733,7,16,68.0,14,1171732.0,1858433.0,2025,2025-12-19 15:43:07,41.766995622,-87.64608973,"(41.766995622, -87.64608973)",1,Thursday,12,0
14052459,JJ518361,2025-12-11 01:13:00,017XX W HOWARD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,True,False,2422,24,49,1.0,14,1163172.0,1950347.0,2025,2025-12-19 15:43:07,42.019398266,-87.67488021,"(42.019398266, -87.67488021)",1,Thursday,12,0
14052469,JJ518343,2025-12-11 01:10:00,075XX S ESSEX AVE,560,ASSAULT,SIMPLE,APARTMENT,True,True,421,4,7,43.0,08A,1194175.0,1855369.0,2025,2025-12-19 15:43:07,41.758066253,-87.563928742,"(41.758066253, -87.563928742)",1,Thursday,12,0
14055005,JJ521290,2025-12-11 01:00:00,023XX W POLK ST,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1225,12,28,28.0,6,1160729.0,1896373.0,2025,2025-12-19 15:43:07,41.871341684,-87.685371628,"(41.871341684, -87.685371628)",1,Thursday,12,0
14052585,JJ518412,2025-12-11 01:00:00,016XX N FRANCISCO AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1421,14,26,24.0,26,1156879.0,1910883.0,2025,2025-12-19 15:43:07,41.91123734,-87.699112718,"(41.91123734, -87.699112718)",1,Thursday,12,0
14052438,JJ518349,2025-12-11 01:00:00,021XX N KEDZIE AVE,560,ASSAULT,SIMPLE,CHA APARTMENT,False,False,1413,14,35,22.0,08A,1154693.0,1914083.0,2025,2025-12-19 15:43:07,41.920062485,-87.707057539,"(41.920062485, -87.707057539)",1,Thursday,12,0
14053543,JJ518748,2025-12-11 01:00:00,011XX N KEELER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1111,11,37,23.0,14,1148177.0,1907099.0,2025,2025-12-19 15:43:07,41.90102578,-87.731178775,"(41.90102578, -87.731178775)",1,Thursday,12,0
14052456,JJ518383,2025-12-11 01:00:00,011XX S INDEPENDENCE BLVD,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,APARTMENT,False,False,1133,11,24,29.0,04A,1151426.0,1894932.0,2025,2025-12-19 15:43:07,41.867575044,-87.719564481,"(41.867575044, -87.719564481)",1,Thursday,12,0
14052492,JJ518358,2025-12-11 00:48:00,056XX S CARPENTER ST,460,BATTERY,SIMPLE,STREET,False,False,712,7,16,68.0,08B,1170277.0,1867364.0,2025,2025-12-19 15:43:07,41.79153513,-87.651163195,"(41.79153513, -87.651163195)",0,Thursday,12,0
